Review_ID,Review_Text,App_Version
182,Love Amazon. Love the app. What I don't love is the daily notifications 'we thought youd like a new *random thing I don't want*' so I have to turn off notifications which means I don't get up to date delivery updates or anything as I can only turn off all notifications. I'm on Amazon daily. I don't need a notification about random junk to bring me to the app.,28.13.6.100
183,"I have been an Amazon Prime member, shopping through Amazon, for several years. In recent years I began using their subscribe and save option for items I need on a regular basis. I was tired of going to a bunch of different stores, hoping to find my items in stock. I have received most of my deliveries on time, and well handled. Amazon customer service has always responded in a prompt and professional manner to any issues I've had.",28.7.0.100
184,quick and easy.,26.23.4.100
185,"I'd like to know if Amazon is going to supply mobile phones to all the customers that can no longer use the app on their tablets!?! We can't all afford to have both, and a lot of people, like me, only use an Android tablet - I don't need a mobile because I don't leave the house. The website is practically useless - unless you have all day to muddle through it. Why are we being punished?!?",32.13.0.100
186,"Never really used Amazon just Ebay but in my experience there customer service isn't as good as it used to , so saying that I started using Amazon and really happy with the speed of delivery, and having used there customer service's on two occasions and on both time's was delt quickly, yes price and quality is important but so is customer service, so on my experience over several months I give Amazon 6 stars. Keep it up Amazon. D Cross",26.1.2.100
187,"It's a great idea,especially when it comes to fabrics, or arts and crafts, not to mention books or CDs. I like being able to get what I want or need for a project+rather than having to put up with a sparse selection.",16.18.0.100
188,Great,30.8.0.100
189,"It's not bad, but recently it's changed something in its notifications, at least for the Google Pixel 7. I'm getting all sorts of notifications now, where I was rarely getting them before. I'm talking 6 or 7 a day.",26.22.0.100
190,"Recently the app won't let me search anything. It just says it's loading and never actually loads anything. It's very frustrating. When I log into the main website, they tell me I don't have Prime when I have had it for many years. I think I'll be looking for a new place to shop.",22.16.0.100
191,Forced to download to get my package,30.4.0.100
192,I Think i'ts safe to say I like Amazon shopping,28.10.0.100
193,so nice of them 1-2 days wow,Unknown
194,Amazon Shopping is totally awesome! It has a ton of really things on it.,26.23.4.100
195,"My Grandkids told me about Amazon Shopping. I love it, everything I ordered was here when they said it would be. So far I have found everything that I was looking to buy on Amazon. Keep up the good work.",22.7.0.100
196,"""Ask Rufus"" pop-up is annoying AF and can't be deactivated.",28.7.0.100
197,I love shopping on Amazon,32.13.2.100
198,VERY GOOD CUSTOMER SERVICE. the app interface is completely garbage since the update though or I'd give it a 5 star rating.,24.7.0.100
199,"I was gonna buy three items for 40$ it said the order successfully went through and then it canceled and they raised the prices to 90$ immediately like bruh I won't buy that lol and when I tried the free membership for ""free shipping"" it increased the tax to make it cost more than without Amazon prime? what's the point",30.18.2.100
200,"best shopping app hands down, and they always have fast shipping",28.3.0.100
201,Do I even need to describe it. Amazon has become absolutely horrible to order through and if you have a problem they don't care,26.23.4.100
202,Staff does not help you with their job,Unknown
203,"This app was easy to use. Now it is IMPOSSIBLE to navigate to the menu that shows customer service, your account, your previous orders etc. What the HECK. You tools reading this need to stand up and make management see how unhappy people are. You disgust me making it difficult to use now!",22.10.6.100
204,"always very helpful, never had an issue, that wasn't resolved.",26.23.4.100
205,Love being a Prime Member,28.10.0.100
